Name,Link,Longitude,Latitude,Company,Funder,Incubator/accelerator,University/RTO
Imagination Technologies Ltd UK,Not given,-0.440416,51.708008,0,0,0,1
Imperial College Healthcare NHS Trust,https://imperial.nhs.uk,-0.173569,51.516969,0,0,0,1
Improvement Service,https://www.improvementservice.org.uk,-3.448672,55.936602,0,0,0,1
Institution of Civil Engineers,https://www.ice.org.uk,-0.129043,51.500973,0,0,0,1
Intel Corperation (UK) Ltd,Not given,-1.771844,51.543398,0,0,0,1
Iqe (Europe) Ltd,Not given,-3.093014,51.530505,0,0,0,1
JBA Consulting,https://www.jbaconsulting.com/,-2.088962,53.952268,0,0,0,1
JBA Trust,Not given,-2.088962,53.952268,0,0,0,1
Jacobs Engineering UK Ltd.,Not given,-0.880737,51.439206,0,0,0,1
Jaguar Cars Ltd,Not given,-1.491403,52.383737,0,0,0,1
Jaguar and Land Rover,Not given,-1.485423,52.195165,0,0,0,1
Joint Nature Conservation Committee,Not given,-0.238968,52.574256,0,0,0,1
KUKA Robotics UK Limited,Not given,-2.028778,52.549651,0,0,0,1
Kelvin Nanotechnology Ltd,Not given,-4.285701,55.872645,0,0,0,1
Knowle West Media Centre,http://kwmc.org.uk,-2.592528,51.425781,0,0,0,1
Knowledge Transfer Network,http://www.ktn-uk.co.uk/,-0.324213,51.062245,0,0,0,1
Knowledge Transfer Network,http://www.ktn-uk.co.uk/,-2.081245,51.900976,0,0,0,1
Kromek,http://www.kromek.com,-1.45137,54.67031,0,0,0,1
Kromek Group PLC,Not given,-1.45137,54.67031,0,0,0,1
Laing O'Rourke plc,Not given,0.253604,51.455436,0,0,0,1
Lancashire County Council,Not given,-2.708372,53.75425,0,0,0,1
Lancaster University,http://www.lancaster.ac.uk/,-2.785332,54.009191,0,0,0,1
Landscape Institute,Not given,-0.116049,51.523883,0,0,0,1
Leeds Beckett University,http://www.leedsbeckett.ac.uk/,-1.548573,53.804004,0,0,0,1
Leica Microsystems Ltd,Not given,-0.769358,52.057883,0,0,0,1
Leonardo,https://www.leonardocompany-us.com/lpr,-0.128445,51.501053,0,0,0,1
Liverpool Hope University,http://www.hope.ac.uk,-2.894829,53.391177,0,0,0,1
Liverpool John Moores University,http://www.ljmu.ac.uk/,-2.973176,53.403685,0,0,0,1
Lloyd's Register EMEA,Not given,-1.405713,50.936776,0,0,0,1
London Borough of Camden,https://www.camden.gov.uk,-0.124154,51.52925,0,0,0,1
London Borough of Tower Hamlets,Not given,-0.006144,51.510027,0,0,0,1
London Underground Ltd,Not given,-0.133879,51.49961,0,0,0,1
Lonza Biologics,Not given,-0.629623,51.518988,0,0,0,1
Loop Technology Limited,Not given,-2.444983,50.717534,0,0,0,1
Loughborough University,http://www.lboro.ac.uk/,-1.248217,52.758443,0,0,0,1
M Squared Lasers Ltd,Not given,-4.311993,55.902522,0,0,0,1
MBDA UK Ltd,Not given,-0.209436,51.895445,0,0,0,1
MIRA Ltd,Not given,-1.463689,52.554062,0,0,0,1
MRC - Regional Centre London,Not given,-0.136421,51.526286,0,0,0,1
MSD Animal Health,https://www.msd-animal-health.ie,-0.703835,52.020722,0,0,0,1
MWH UK Ltd,Not given,-0.727099,51.646301,0,0,0,1
Malvern Instruments Ltd,Not given,-2.303713,52.128592,0,0,0,1
Manchester City Council,http://www.manchester.gov.uk,-2.227212,53.487362,0,0,0,1
Manufacturing Technology Centre,http://www.the-mtc.org/,-1.18381,52.951902,0,0,0,1
Marks and Spencer,https://jobs.marksandspencer.com/,-0.174795,51.518626,0,0,0,1
Maxeler Technologies,http://www.maxeler.com,-0.232125,51.493263,0,0,0,1
Merck Chemicals Ltd UK,Not given,-1.199665,52.92698,0,0,0,1
Merck Miilipore (UK),Not given,-0.444646,51.453525,0,0,0,1
Met Office,http://www.metoffice.gov.uk,-3.47531,50.727388,0,0,0,1
Microsoft,http://www.microsoft.com,-0.925429,51.461879,0,0,0,1
Microsoft Research Ltd,Not given,0.135291,52.194875,0,0,0,1
Middlesex University,http://www.mdx.ac.uk/,-0.229573,51.590471,0,0,0,1
Milton Keynes Council,http://www.milton-keynes.gov.uk/,-0.760836,52.043264,0,0,0,1
Ministry of Defence MOD,Not given,-0.124848,51.504035,0,0,0,1
Ministry of Justice,Not given,-0.136579,51.497535,0,0,0,1
Mitsui Babcock Energy Ltd,Not given,-4.407618,55.870051,0,0,0,1
Mologic Ltd,Not given,-0.483124,52.220022,0,0,0,1
Monitor Coatings Limited,Not given,-1.490605,55.019342,0,0,0,1
Morgan Advanced Materials,Not given,-0.608673,51.483858,0,0,0,1
Motorola,http://www.motorola.com/,-1.100845,51.245198,0,0,0,1
Museum of Science and Industry MOSI,Not given,-2.256091,53.477523,0,0,0,1
Museums Association,Not given,-0.106538,51.52382,0,0,0,1
N8 Research Partnership,Not given,-2.234734,53.465994,0,0,0,1
NEC Telecom MODUS Ltd,Not given,-0.337744,51.30495,0,0,0,1
NESTA,http://www.nesta.org.uk/,-0.108654,51.516588,0,0,0,1
NHS Scotland,Not given,-4.254295,55.864566,0,0,0,1
NHS Tayside,Not given,-2.991412,56.461688,0,0,0,1
NIHR MindTech HTC,Not given,-1.185252,52.943374,0,0,0,1
